empresa;abertura;data_atendimento;tempo_horas
CRE;2025-02-03 08:55:00;2025-02-04 08:20:00;23,416666666666668
HGL;2025-02-01 00:16:00;2025-02-26 11:30:00;611,2333333333333
HDS;2025-02-01 00:12:00;2025-03-13 13:02:00;972,8333333333334
HCD;2025-02-01 00:12:00;2025-02-26 07:55:00;607,7166666666667
CRE;2025-02-03 13:18:00;2025-02-03 13:45:00;0,45
HCD;2025-02-01 00:14:00;2025-02-17 09:00:00;392,76666666666665
HGL;2025-02-01 00:17:00;2025-02-24 09:40:00;561,3833333333333
HGL;2025-02-01 00:15:00;2025-02-10 09:20:00;225,08333333333334
HDS;2025-02-01 00:12:00;2025-03-16 09:15:00;1041,05
HGL;2025-02-02 08:00:00;2025-02-28 16:00:00;632,0
HCD;2025-02-01 00:14:00;2025-02-24 08:15:00;560,0166666666667
HDS;2025-02-01 00:11:00;2025-02-10 12:00:00;227,81666666666666
HCD;2025-02-01 00:15:00;2025-02-17 09:30:00;393,25
HDS;2025-02-01 00:12:00;2025-03-16 13:40:00;1045,4666666666667
HDS;2025-02-01 00:12:00;2025-02-11 11:25:00;251,21666666666667
CRE;2025-02-01 00:11:00;2025-02-07 15:50:00;159,65
HDS;2025-02-01 00:12:00;2025-02-18 17:50:00;425,6333333333333
HGL;2025-02-01 00:15:00;2025-02-24 07:00:00;558,75
CRE;2025-02-01 00:11:00;2025-02-07 10:30:00;154,31666666666666
HGL;2025-02-02 08:00:00;2025-02-28 17:37:00;633,6166666666667
